REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
Capital,4,Wardak,402,Jalrez,12-08-22,Flood / flash flood,3,0,1,6,0,1
Capital,5,Logar,505,Charkh,12-08-22,Flood / flash flood,0,0,138,966,68,70
South Eastern,26,Khost,2605,Mandozayi,12-08-22,Flood / flash flood,4,6,133,1100,115,18
Capital,4,Wardak,406,Chak,12-08-22,Flood / flash flood,0,0,4,43,4,0
South Eastern,26,Khost,2604,Nadirshahkot,12-08-22,Flood / flash flood,0,1,125,915,101,20
Capital,2,Kapisa,202,Nejrab,13-08-22,Flood / flash flood,0,0,35,73,33,2
Southern,24,Zabul,2410,Shomulzay,13-08-22,Flood / flash flood,1,0,7,48,7,0
Eastern,7,Laghman,703,Qarghayi,13-08-22,Flood / flash flood,0,0,8,56,8,0
Eastern,7,Laghman,703,Qarghayi,13-08-22,Flood / flash flood,0,0,9,63,9,0
Eastern,7,Laghman,702,Alishang,13-08-22,Flood / flash flood,0,0,7,49,6,1
Eastern,7,Laghman,703,Qarghayi,13-08-22,Flood / flash flood,0,0,14,98,14,0
Capital,2,Kapisa,205,Tagab,13-08-22,Flood / flash flood,2,7,72,504,0,5
Eastern,7,Laghman,703,Qarghayi,13-08-22,Flood / flash flood,0,0,16,112,16,0
Eastern,7,Laghman,704,Alingar,13-08-22,Flood / flash flood,0,0,19,124,18,1
Eastern,7,Laghman,704,Alingar,13-08-22,Flood / flash flood,0,0,4,24,4,0
Eastern,7,Laghman,704,Alingar,13-08-22,Flood / flash flood,0,0,23,151,22,1
Eastern,7,Laghman,704,Alingar,13-08-22,Flood / flash flood,0,0,6,40,6,0
Eastern,7,Laghman,704,Alingar,13-08-22,Flood / flash flood,0,0,22,119,22,0
Eastern,7,Laghman,704,Alingar,13-08-22,Flood / flash flood,0,0,9,56,5,4
Eastern,7,Laghman,704,Alingar,13-08-22,Flood / flash flood,0,0,22,98,18,4
Capital,3,Parwan,303,Shinwari,14-08-22,Flood / flash flood,5,6,129,496,26,103
Capital,3,Parwan,307,Ghorband,14-08-22,Flood / flash flood,6,15,59,285,21,38
Eastern,7,Laghman,702,Alishang,14-08-22,Flood / flash flood,0,0,15,18,15,0
Eastern,7,Laghman,703,Qarghayi,15-08-22,Flood / flash flood,0,0,20,16,20,0
Eastern,6,Nangarhar,601,Jalalabad,15-08-22,Flood / flash flood,0,0,1330,8820,1153,177
Eastern,7,Laghman,702,Alishang,15-08-22,Flood / flash flood,0,0,5,35,5,0
Eastern,7,Laghman,703,Qarghayi,15-08-22,Flood / flash flood,0,1,11,77,11,0
South Eastern,26,Khost,2604,Nadirshahkot,16-08-22,Flood / flash flood,0,0,18,142,18,0
Eastern,13,Kunar,1308,Chawkay,17-08-22,Flood / flash flood,0,0,8,68,8,0
Eastern,13,Kunar,1308,Chawkay,17-08-22,Flood / flash flood,0,0,7,52,7,0
Eastern,13,Kunar,1308,Chawkay,17-08-22,Flood / flash flood,0,0,4,32,4,0
Eastern,13,Kunar,1309,Khaskunar,17-08-22,Flood / flash flood,0,0,5,38,2,3
Eastern,13,Kunar,1309,Khaskunar,17-08-22,Flood / flash flood,0,0,4,28,1,3
